age_group,population,firstDose.sinovac,firstDose.biontech,firstDose.total,secondDose.sinovac,secondDose.biontech,secondDose.total,thirdDose.sinovac,thirdDose.biontech,thirdDose.total
Aged 0-2,104000,11865,0,11865,5,0,5,1,0,1
Aged 3-11,502600,312714,92504,405218,263423,69096,332519,58621,386,59007
Aged 12-19,447300,67926,380695,448621,67747,361348,429095,49414,189880,239294
Aged 20-29,771900,143175,620559,763734,138259,605068,743327,89155,447111,536266
Aged 30-39,1094500,300026,797400,1097426,289825,781939,1071764,179188,621814,801002
Aged 40-49,1160300,468632,698232,1166864,458937,691546,1150483,300782,637232,938014
Aged 50-59,1191300,580347,576188,1156535,569249,569927,1139176,381894,564335,946229
Aged 60-69,1122100,585993,409685,995678,572074,404762,976836,401615,422750,824365
Aged 70-79,591300,328501,159747,488248,320509,157697,478206,233529,166003,399532
Aged 80 and above,398200,223788,57037,280825,212199,55137,267336,140377,52437,192814
