District,Building name,Last date of visit of the case(s),Related cases
Central & Western,Soho 38,24/07/2022,
Central & Western,Tower 125,24/07/2022,
Central & Western,The Sail At Victoria,24/07/2022,
Central & Western,Sincere Western House,24/07/2022,
Central & Western,Federate Building,24/07/2022,
Central & Western,Kung Lee Church Mansions,24/07/2022,
Central & Western,33 Lyttelton Road,24/07/2022,
Central & Western,"Block A, Chong Yip Centre",24/07/2022,
Central & Western,"Block 2, Cayman Rise",24/07/2022,
Central & Western,"Hang Fai Building, 67-83 Belcher's Street",24/07/2022,
Central & Western,Wo Yick Mansion,24/07/2022,
Central & Western,"Block A, Ka On Building",24/07/2022,
Central & Western,"Block A, Smithfield Terrace",24/07/2022,
Central & Western,Garley Building,24/07/2022,
Central & Western,Old Bailey Street Police Married Quarters,24/07/2022,
Central & Western,"Block 2, Academic Terrace",24/07/2022,
Central & Western,Hoi On Commercial Building,24/07/2022,
Central & Western,On Fat Building,24/07/2022,
Central & Western,Jadestone Court,24/07/2022,
Central & Western,"Tower 5, The Belcher's",24/07/2022,
Central & Western,Kui Yan Court,24/07/2022,
Central & Western,"Tower 5, Dynasty Court",24/07/2022,
Central & Western,76 Connaught Road West,24/07/2022,
Central & Western,Greenview Court,24/07/2022,
Central & Western,"Block 3, Estoril Court",24/07/2022,
Central & Western,"Tower 2, Elegant Terrace",24/07/2022,
Central & Western,"Block D, Wisdom Court",24/07/2022,
Central & Western,The Nova,24/07/2022,
Central & Western,Tung Shing Terrace,24/07/2022,
Central & Western,"Phase 1, Blessings Garden",24/07/2022,
Central & Western,Tai Shing Building,24/07/2022,
Central & Western,"Tower 2, Harbour View Garden",24/07/2022,
Central & Western,Tim Po Court,24/07/2022,
Central & Western,Buxey Lodge,24/07/2022,
Central & Western,Park Mansions,24/07/2022,
Central & Western,291 Queen's Road West,24/07/2022,
Central & Western,Johnson Mansion,24/07/2022,
Central & Western,Fook On Mansion,24/07/2022,
Central & Western,Wing Cheung Court,24/07/2022,
Central & Western,Maxluck Court,24/07/2022,
Central & Western,Midland Court,24/07/2022,
Central & Western,Green View Court,24/07/2022,
Central & Western,Hing Hon Building,24/07/2022,
Central & Western,Hing Wah House,24/07/2022,
Central & Western,56 Bonham Road,24/07/2022,
Central & Western,Man Fat Mansion,24/07/2022,
Central & Western,Evora Building,24/07/2022,
Central & Western,13 Seymour Road,24/07/2022,
Central & Western,"Central Terrace, Sai Wan Estate",24/07/2022,
Central & Western,"South Terrace, Sai Wan Estate",24/07/2022,
Central & Western,"Block 2, Kwun Lung Lau",24/07/2022,
Central & Western,"Block C, Kwun Lung Lau",24/07/2022,
Central & Western,Fung Shing Building,24/07/2022,
Central & Western,Fairview Height,24/07/2022,
Central & Western,Bon-Point,24/07/2022,
Central & Western,"Tower 1, Robinson Place",24/07/2022,
Central & Western,"Lap-Chee College, The University Of Hong Kong Jockey Club Student Village 3",24/07/2022,
Central & Western,"Starr Hall, The University of Hong Kong Jockey Club Student Village 1",24/07/2022,
Central & Western,"Block 1, Connaught Garden",24/07/2022,
Central & Western,Lascar Court,24/07/2022,
Central & Western,Felicity Building,23/07/2022,
Central & Western,"Block A, New Fortune House",23/07/2022,
Central & Western,U Lam Court,23/07/2022,
Central & Western,Yuen Ming Building,23/07/2022,
Central & Western,"Block C, Chong Yip Centre",23/07/2022,
Central & Western,Dawning Height,23/07/2022,
Central & Western,23 South Lane,23/07/2022,
Central & Western,Ka Fu Building,23/07/2022,
Central & Western,Kwok Ga Building,23/07/2022,
Central & Western,"Phase 1, Kwan Yick Building",23/07/2022,
Central & Western,"Block B, Phase 3, Kwan Yick Building",23/07/2022,
Central & Western,Kin Yuen Mansion,23/07/2022,
Central & Western,2-4 Staunton Street,23/07/2022,
